EDGE Rank,Order,Family,Species,Common Name,IUCN Category,Assigned IUCN2012,ED Score,ED IQR,ED 05Percentile,ED 95Percentile,EDGE Score,EDGE IQR,EDGE 05Percentile,EDGE 95Percentile
6154,COLUMBIFORMES,Columbidae,Ducula forsteni,White-bellied Imperial-pigeon,LC,LC,6.131412,3.681425,3.374413,13.110951,1.964509,1.543602,1.475772,2.646951
6155,COLUMBIFORMES,Columbidae,Ducula myristicivora,Spice Imperial-pigeon,LC,LC,6.13015,3.555975,3.352471,11.982857,1.964332,1.516439,1.470744,2.56363
6156,PASSERIFORMES,Passeridae,Montifringilla davidiana,Small Snowfinch,LC,LC,6.128241,1.238144,4.732968,7.776263,1.964065,0.805647,1.746233,2.172051
6157,APODIFORMES,Trochilidae,Heliangelus amethysticollis,Amethyst-throated Sunangel,LC,LC,6.127621,1.006098,4.487362,7.285653,1.963977,0.696192,1.702448,2.114526
6158,PASSERIFORMES,Alaudidae,Certhilauda semitorquata,Eastern Long-billed Lark,LC,LC,6.126223,1.368842,4.630285,7.941544,1.963781,0.862401,1.72816,2.190708
6159,GALLIFORMES,Odontophoridae,Odontophorus capueira,Spot-winged Wood-quail,LC,LC,6.121762,3.634592,3.299811,12.18671,1.963155,1.533548,1.458571,2.57921
6160,PASSERIFORMES,Thraupidae,Anisognathus somptuosus,Blue-winged Mountain-tanager,LC,LC,6.119995,2.104019,3.574788,8.585347,1.962907,1.132698,1.52056,2.260236
6161,PASSERIFORMES,Furnariidae,Sclerurus guatemalensis,Scaly-throated Leaftosser,LC,LC,6.119373,3.061868,3.661904,11.12213,1.96282,1.401643,1.539424,2.495033
6162,PASSERIFORMES,Parulidae,Euthlypis lachrymosa,Fan-tailed Warbler,LC,LC,6.116014,1.600307,4.066321,7.996577,1.962348,0.95563,1.622615,2.196844
6163,STRIGIFORMES,Strigidae,Megascops watsonii,Tawny-bellied Screech-owl,LC,LC,6.115787,1.652361,4.141172,8.260702,1.962316,0.97545,1.637281,2.22578
6164,PASSERIFORMES,Alaudidae,Certhilauda curvirostris,Cape Long-billed Lark,LC,LC,6.114763,1.378735,4.645887,7.940085,1.962172,0.866569,1.730927,2.190545
6165,PASSERIFORMES,Nectariniidae,Nectarinia amethystina,Amethyst Sunbird,LC,LC,6.113026,3.267343,3.348918,11.786265,1.961928,1.450991,1.469927,2.548372
6166,APODIFORMES,Trochilidae,Metallura tyrianthina,Tyrian Metaltail,LC,LC,6.112265,1.216183,3.917331,7.496684,1.961821,0.795786,1.592766,2.139676
6167,PASSERIFORMES,Nectariniidae,Nectarinia calcostetha,Copper-throated Sunbird,LC,LC,6.111919,3.545076,3.248779,11.733009,1.961772,1.514045,1.446632,2.544198
6168,PASSERIFORMES,Tyrannidae,Conopias albovittatus,White-ringed Flycatcher,LC,LC,6.111513,3.601842,3.011521,12.09905,1.961715,1.526457,1.38917,2.57254
6169,PASSERIFORMES,Sylviidae,Phylloscopus ruficapilla,Yellow-throated Woodland-warbler,LC,LC,6.110867,1.436294,4.309733,7.881511,1.961624,0.890478,1.669541,2.183972
6170,GALLIFORMES,Odontophoridae,Odontophorus stellatus,Starred Wood-quail,LC,LC,6.110502,3.553119,3.289311,12.213535,1.961573,1.515812,1.456126,2.581242
