EDGE Rank,Order,Family,Species,Common Name,IUCN Category,Assigned IUCN2012,ED Score,ED IQR,ED 05Percentile,ED 95Percentile,EDGE Score,EDGE IQR,EDGE 05Percentile,EDGE 95Percentile
1,PELECANIFORMES,Threskiornithidae,Thaumatibis gigantea,Giant Ibis,CR,CR,56.62592,7.6135,48.39893,62.937046,6.826561,4.925919,6.672517,6.930488
2,APODIFORMES,Aegothelidae,Aegotheles savesi,New Caledonian Owlet-nightjar,CR,CR,40.260826,13.417248,27.032769,58.426711,6.492502,5.441014,6.105963,6.857333
3,ACCIPITRIFORMES,Cathartidae,Gymnogyps californianus,California Condor,CR,CR,33.390317,9.408465,24.033582,45.925268,6.310364,5.115208,5.992807,6.621145
4,PSITTACIFORMES,Psittacidae,Strigops habroptila,Kakapo,CR,CR,32.371539,7.811276,23.489876,41.985061,6.280292,4.948621,5.970849,6.533441
5,EURYPYGIFORMES,Rhynochetidae,Rhynochetos jubatus,Kagu,EN,EN,55.381864,7.888216,47.531493,65.286544,6.111589,4.264168,5.961654,6.273428
6,OTIDIFORMES,Otididae,Houbaropsis bengalensis,Bengal Florican,CR,CR,24.273878,5.908071,18.47113,32.019439,6.00236,4.705279,5.741522,6.269685
7,STRIGIFORMES,Strigidae,Heteroglaux blewitti,Forest Owlet,CR,CR,24.084489,4.449844,19.167693,30.030957,5.994838,4.468176,5.776671,6.207574
8,ACCIPITRIFORMES,Accipitridae,Pithecophaga jefferyi,Philippine Eagle,CR,CR,23.637324,3.468386,19.261956,27.687889,5.976851,4.269616,5.781334,6.129064
9,SULIFORMES,Fregatidae,Fregata andrewsi,Christmas Island Frigatebird,CR,CR,22.678181,8.728537,16.1323,38.155539,5.9371427134,5.0476522474,5.6135542929,6.4401306162
10,CUCULIFORMES,Cuculidae,Carpococcyx viridis,Sumatran Ground-cuckoo,CR,CR,21.154447,8.897026,15.17794,35.103455,5.870627,5.064823,5.556237,6.358977
11,CHARADRIIFORMES,Scolopacidae,Eurynorhynchus pygmeus,Spoon-billed Sandpiper,CR,CR,19.729778,3.072839,15.953972,24.193376,5.80416,4.176929,5.603091,5.99917
12,PELECANIFORMES,Threskiornithidae,Geronticus eremita,Northern Bald Ibis,CR,CR,19.508976,6.450431,13.501517,28.555547,5.793451,4.780861,5.446842,6.15886
13,CHARADRIIFORMES,Pedionomidae,Pedionomus torquatus,Plains-wanderer,EN,EN,38.949817,5.317042,32.082012,46.548395,5.767066,3.922693,5.578431,5.94119
14,PROCELLARIIFORMES,Hydrobatidae,Oceanites maorianus,New Zealand Storm-petrel,CR,CR,17.764954,6.213327,13.043085,28.436635,5.70458,4.748519,5.414719,6.154829
15,PODICIPEDIFORMES,Podicipedidae,Podiceps gallardoi,Hooded Grebe,CR,CR,16.908686,6.762152,9.538976,26.477384,5.657875,4.821848,5.127669,6.085952
16,PELECANIFORMES,Threskiornithidae,Pseudibis davisoni,White-shouldered Ibis,CR,CR,16.338927,7.743045,9.416057,28.226102,5.625543,4.940847,5.115937,6.147651
17,GALLIFORMES,Megapodiidae,Macrocephalon maleo,Maleo,EN,EN,32.45188,8.750345,23.469042,45.066067,5.58955,4.356744,5.27685,5.909518
18,CUCULIFORMES,Cuculidae,Centropus steerii,Black-hooded Coucal,CR,CR,15.252189,3.120421,11.639448,19.014451,5.560816,4.188544,5.309411,5.769043
19,ACCIPITRIFORMES,Accipitridae,Eutriorchis astur,Madagascar Serpent-eagle,EN,EN,30.963465,4.274044,25.375239,35.786105,5.544035,3.742239,5.351867,5.684562
20,PELECANIFORMES,Threskiornithidae,Bostrychia bocagei,Dwarf Olive Ibis,CR,CR,14.712093,7.415888,8.47021,27.075701,5.527019,4.90271,5.02074,6.107493
21,PASSERIFORMES,Atrichornithidae,Atrichornis rufescens,Rufous Scrub-bird,EN,EN,30.400054,10.69815,21.030456,45.633913,5.526251,4.538872,5.171867,5.92177
22,PASSERIFORMES,Atrichornithidae,Atrichornis clamosus,Noisy Scrub-bird,EN,EN,30.400054,10.69815,21.030456,45.633913,5.526251,4.538872,5.171867,5.92177
23,PODICIPEDIFORMES,Podicipedidae,Podiceps taczanowskii,Junin Grebe,CR,CR,14.568513,6.199,8.469461,25.210415,5.517839,4.746531,5.020661,6.038746
24,ACCIPITRIFORMES,Accipitridae,Leptodon forbesi,White-collared Kite,CR,CR,14.530388,3.7336,11.235011,19.546327,5.515387,4.327275,5.27689,5.795271
25,STRIGIFORMES,Tytonidae,Phodilus prigoginei,Congo Bay-owl,EN,EN,29.486668,11.233525,19.513648,45.8927,5.496731,4.583622,5.100532,5.927304
26,PASSERIFORMES,Hirundinidae,Eurochelidon sirintarae,White-eyed River-martin,CR,CR,14.177899,2.754815,11.053897,17.532571,5.492429,4.095628,5.261977,5.692118
27,ACCIPITRIFORMES,Accipitridae,Sarcogyps calvus,Red-headed Vulture,CR,CR,14.123593,2.195456,11.439984,16.768748,5.488845,3.934319,5.293505,5.65003
28,ACCIPITRIFORMES,Accipitridae,Sagittarius serpentarius,Secretarybird,VU,VU,59.325062,8.740165,47.001358,68.252811,5.486042,3.662552,5.257524,5.624058
29,PROCELLARIIFORMES,Pelecanoididae,Pelecanoides garnotii,Peruvian Diving-petrel,EN,EN,28.41848,3.931771,24.354745,33.062937,5.461065,3.67514,5.312407,5.607651
30,ACCIPITRIFORMES,Accipitridae,Neophron percnopterus,Egyptian Vulture,EN,EN,27.712059,3.742432,22.693875,31.93847,5.436759,3.635992,5.244658,5.574083
31,CHARADRIIFORMES,Charadriidae,Charadrius sanctaehelenae,St Helena Plover,CR,CR,13.191755,7.175155,7.227168,26.340325,5.42525,4.873688,4.880031,6.080951
32,CHARADRIIFORMES,Rostratulidae,Rostratula australis,Australian Painted Snipe,EN,EN,26.90162,3.766694,22.188264,32.33161,5.408126,3.641094,5.223088,5.585948
33,ACCIPITRIFORMES,Accipitridae,Chondrohierax wilsonii,Cuban Kite,CR,CR,12.77194,1.733278,10.511575,14.724664,5.395222,3.778091,5.215942,5.527819
34,COLUMBIFORMES,Columbidae,Didunculus strigirostris,Tooth-billed Pigeon,EN,EN,25.891105,4.435416,21.87945,30.631693,5.371237,3.772378,5.209681,5.533601
35,GALLIFORMES,Phasianidae,Francolinus nahani,Nahan's Francolin,EN,EN,25.799784,7.968058,17.362362,36.296406,5.367835,4.273111,4.989745,5.698339
36,BUCEROTIFORMES,Bucerotidae,Anthracoceros montani,Sulu Hornbill,CR,CR,12.38856,5.637834,7.649647,21.588126,5.366989,4.665374,4.930107,5.890013
37,PELECANIFORMES,Balaenicipitidae,Balaeniceps rex,Shoebill,VU,VU,51.335056,4.519814,41.148524,58.657371,5.343961,3.094638,5.127494,5.474912
38,COLUMBIFORMES,Columbidae,Claravis godefrida,Purple-winged Ground-dove,CR,CR,12.062155,4.479823,8.665659,19.8775,5.342308,4.473662,5.041168,5.811261
39,PELECANIFORMES,Threskiornithidae,Nipponia nippon,Asian Crested Ibis,EN,EN,25.031192,11.691327,13.665116,38.305514,5.338737,4.62036,4.764913,5.750806
40,PASSERIFORMES,Colluricinclidae,Colluricincla sanghirensis,Sangihe Shrike-thrush,CR,CR,11.944888,4.542568,5.871004,16.746138,5.33329,4.485047,4.699899,5.648757
41,CHARADRIIFORMES,Glareolidae,Rhinoptilus bitorquatus,Jerdon's Courser,CR,CR,11.857601,4.142973,7.772975,19.04893,5.326524,4.41022,4.944265,5.770765
42,OTIDIFORMES,Otididae,Sypheotides indicus,Lesser Florican,EN,EN,24.273878,5.908071,18.47113,32.019439,5.309213,4.012132,5.048374,5.576538
43,PASSERIFORMES,Callaeatidae,Callaeas cinereus,Kokako,EN,EN,23.649812,7.322787,15.623124,32.800773,5.284211,4.198439,4.890236,5.599925
44,BUCEROTIFORMES,Bucerotidae,Aceros waldeni,Rufous-headed Hornbill,CR,CR,11.152742,6.75136,5.91944,22.117731,5.270144,4.820457,4.706924,5.913189
45,GRUIFORMES,Heliornithidae,Heliopais personatus,Masked Finfoot,EN,EN,23.120242,9.471224,12.771971,33.342931,5.262493,4.428072,4.702077,5.615838
46,PASSERIFORMES,Rhinocryptidae,Eleoscytalopus psychopompus,Bahia Tapaculo,CR,CR,11.045922,3.211843,7.748045,15.397798,5.261315,4.210489,4.941419,5.569736
47,PROCELLARIIFORMES,Diomedeidae,Phoebastria irrorata,Waved Albatross,CR,CR,10.868574,1.921001,8.913082,13.215092,5.246483,3.844515,5.066444,5.426893
48,PASSERIFORMES,Rhinocryptidae,Merulaxis stresemanni,Stresemann's Bristlefront,CR,CR,10.73732,3.775702,7.14217,16.392634,5.235362,4.33613,4.869645,5.628635
49,CHARADRIIFORMES,Charadriidae,Vanellus gregarius,Sociable Lapwing,CR,CR,10.708931,5.807238,5.979596,22.209839,5.232941,4.690575,4.71558,5.917165
50,CHARADRIIFORMES,Scolopacidae,Numenius borealis,Eskimo Curlew,CR,CR,10.680007,4.627087,7.170157,20.986647,5.230467,4.500181,4.873077,5.863024
51,CHARADRIIFORMES,Scolopacidae,Numenius tenuirostris,Slender-billed Curlew,CR,CR,10.597043,4.086276,7.303438,19.855783,5.223339,4.399135,4.889258,5.81022
52,MUSOPHAGIFORMES,Musophagidae,Tauraco bannermani,Bannerman's Turaco,EN,EN,21.496795,6.69654,14.680556,31.33706,5.192814,4.120212,4.831863,5.555655
53,PROCELLARIIFORMES,Hydrobatidae,Oceanodroma homochroa,Ashy Storm-petrel,EN,EN,20.826679,7.391306,13.237716,27.831324,5.162575,4.206638,4.735336,5.440904
54,GRUIFORMES,Gruidae,Grus leucogeranus,Siberian Crane,CR,CR,9.903283,2.237809,7.696663,12.808697,5.161653,3.947486,4.935528,5.397887
55,PROCELLARIIFORMES,Hydrobatidae,Nesofregetta fuliginosa,White-throated Storm-petrel,EN,EN,20.535552,6.941587,15.54156,31.932935,5.149147,4.151555,4.885318,5.573915
56,APODIFORMES,Trochilidae,Sephanoides fernandensis,Juan Fernandez Firecrown,CR,CR,9.58692,1.22935,8.211351,11.205082,5.132208,3.574299,4.993025,5.274441
57,GRUIFORMES,Psophiidae,Psophia viridis,Dark-winged Trumpeter,EN,EN,20.168346,5.875197,14.908969,29.344664,5.131948,4.007362,4.846325,5.492062
58,PASSERIFORMES,Malaconotidae,Malaconotus alius,Uluguru Bush-shrike,CR,CR,9.582806,4.437311,5.845684,15.153587,5.131819,4.465873,4.696207,5.554731
59,COLUMBIFORMES,Columbidae,Gallicolumba erythroptera,Polynesian Ground-dove,CR,CR,9.398143,5.154873,5.224549,19.062075,5.114216,4.589833,4.60109,5.77142
60,PASSERIFORMES,Corvidae,Perisoreus internigrans,Sichuan Jay,CR,CR,9.31043,2.109893,6.886052,11.815705,5.105745,3.907177,4.837684,5.32326
61,ACCIPITRIFORMES,Accipitridae,Spilornis kinabaluensis,Mountain Serpent-eagle,CR,CR,9.253538,4.496976,6.162844,17.38831,5.100212,4.476787,4.741496,5.684304
62,COLUMBIFORMES,Columbidae,Gallicolumba menagei,Sulu Bleeding-heart,CR,CR,9.236577,5.108951,5.204233,18.409672,5.098556,4.582344,4.597821,5.73836
63,GRUIFORMES,Rallidae,Cyanolimnas cerverai,Zapata Rail,CR,CR,9.235835,7.254624,4.672277,23.073582,5.098483,4.883362,4.508179,5.953704
64,COLUMBIFORMES,Columbidae,Gallicolumba platenae,Mindoro Bleeding-heart,CR,CR,9.21437,4.5645,5.118309,17.278975,5.096384,4.488996,4.583874,5.67834
65,PSITTACIFORMES,Psittacidae,Nestor meridionalis,Kaka,EN,EN,19.39575,3.941351,14.994753,24.368675,5.094768,3.67708,4.851702,5.312957
66,COLUMBIFORMES,Columbidae,Gallicolumba keayi,Negros Bleeding-heart,CR,CR,9.133146,4.883315,5.170851,17.541846,5.088401,4.544709,4.592426,5.692619
67,CHARADRIIFORMES,Recurvirostridae,Himantopus novaezelandiae,Black Stilt,CR,CR,9.075958,2.579904,6.730337,13.488789,5.082741,4.047925,4.817741,5.445964
68,GRUIFORMES,Rallidae,Gallinula silvestris,Makira Moorhen,CR,CR,9.054193,5.1274,4.975528,18.227935,5.080579,4.585359,4.560261,5.728953
69,OTIDIFORMES,Otididae,Ardeotis nigriceps,Great Indian Bustard,CR,CR,8.988413,1.839268,7.258548,11.61241,5.074014,3.816135,4.883837,5.30727
70,SULIFORMES,Sulidae,Papasula abbotti,Abbott's Booby,EN,EN,18.68152,6.591764,12.547264,29.558463,5.059122,4.106506,4.685626,5.499083
71,CHARADRIIFORMES,Alcidae,Brachyramphus brevirostris,Kittlitz's Murrelet,CR,CR,8.815285,1.524281,6.882622,11.070545,5.05653,3.698545,4.837249,5.263357
72,PODICIPEDIFORMES,Podicipedidae,Rollandia microptera,Titicaca Grebe,EN,EN,18.455915,7.601795,10.421874,30.016373,5.047593,4.231412,4.514972,5.513957
73,CICONIIFORMES,Ciconiidae,Leptoptilos dubius,Greater Adjutant,EN,EN,18.366746,5.869692,12.815624,26.846351,5.042999,4.006561,4.705242,5.406143
74,PASSERIFORMES,Dasyornithidae,Dasyornis longirostris,Western Bristlebird,EN,EN,18.194912,5.861266,13.394529,28.751464,5.034087,4.005333,4.74629,5.47232
75,PASSERIFORMES,Dasyornithidae,Dasyornis brachypterus,Eastern Bristlebird,EN,EN,18.16695,5.890867,13.378013,28.865639,5.032629,4.009639,4.745142,5.47615
76,CHARADRIIFORMES,Charadriidae,Thinornis novaeseelandiae,Shore Plover,EN,EN,17.883186,3.683498,13.690544,23.173943,5.017713,3.623487,4.766646,5.264717
77,GALLIFORMES,Phasianidae,Xenoperdix udzungwensis,Udzungwa Forest-partridge,EN,EN,17.882312,7.514949,9.427102,26.954313,5.017667,4.221265,4.42385,5.410013
78,ACCIPITRIFORMES,Accipitridae,Haliaeetus vociferoides,Madagascar Fish-eagle,CR,CR,8.419427,1.252277,6.841118,9.880331,5.015363,3.58453,4.83197,5.159545
79,PELECANIFORMES,Ardeidae,Ardea insignis,White-bellied Heron,CR,CR,8.402338,4.559873,5.040647,14.925859,5.013547,4.488164,4.5711,5.540533
80,MESITORNITHIFORMES,Mesitornithidae,Monias benschi,Subdesert Mesite,VU,VU,36.012886,5.558942,30.207195,43.668507,4.99756,3.267124,4.826943,5.185563
81,STRIGIFORMES,Strigidae,Xenoglaux loweryi,Long-whiskered Owlet,EN,EN,17.490388,7.690948,10.645446,30.78923,4.996693,4.241724,4.534357,5.538569
82,PSITTACIFORMES,Psittacidae,Cacatua haematuropygia,Philippine Cockatoo,CR,CR,8.057924,2.875754,5.079106,12.128324,4.976229,4.127329,4.577446,5.347361
83,PSITTACIFORMES,Psittacidae,Cyanopsitta spixii,Spix's Macaw,CR,CR,8.043696,2.466131,5.406003,11.45595,4.974657,4.015628,4.629824,5.294787
84,PASSERIFORMES,Acanthisittidae,Xenicus gilviventris,South Island Wren,VU,VU,35.034109,4.16956,31.349013,42.207665,4.97076,3.029082,4.862878,5.152312
85,PASSERIFORMES,Meliphagidae,Gymnomyza aubryana,Crow Honeyeater,CR,CR,7.938744,3.323457,4.830886,13.263788,4.962984,4.236644,4.535758,5.430313
86,APTERYGIFORMES,Apterygidae,Apteryx mantelli,Northern Brown Kiwi,EN,EN,16.764242,3.477878,13.377307,21.748956,4.956629,3.578591,4.745093,5.203961
87,CUCULIFORMES,Cuculidae,Neomorphus radiolosus,Banded Ground-cuckoo,EN,EN,16.304259,3.092984,12.725535,19.704746,4.930394,3.488716,4.6987,5.109805
88,ACCIPITRIFORMES,Accipitridae,Nisaetus floris,Flores Hawk-eagle,CR,CR,7.635666,3.036572,5.150275,13.429788,4.92849,4.167985,4.589085,5.441883
89,PASSERIFORMES,Formicariidae,Grallaria chthonia,Tachira Antpitta,CR,CR,7.63067,4.522038,4.058159,15.752736,4.927911,4.481336,4.393591,5.59115
90,PROCELLARIIFORMES,Procellariidae,Pseudobulweria becki,Beck's Petrel,CR,CR,7.575191,5.742164,4.700196,19.531754,4.921462,4.68097,4.513089,5.794561
91,PASSERIFORMES,Dicaeidae,Dicaeum quadricolor,Cebu Flowerpecker,CR,CR,7.564774,3.987632,4.140669,13.920059,4.920246,4.37955,4.409772,5.475295
92,COLUMBIFORMES,Columbidae,Columbina cyanopis,Blue-eyed Ground-dove,CR,CR,7.56397,3.865994,4.951422,13.700654,4.920153,4.35486,4.556219,5.460481
93,TROGONIFORMES,Trogonidae,Apalharpactes reinwardtii,Javan Trogon,EN,EN,15.922912,7.313171,10.149791,35.129869,4.90811,4.197283,4.490862,5.666561
94,PASSERIFORMES,Sylviidae,Macrosphenus pulitzeri,Pulitzer's Longbill,EN,EN,15.832729,7.554264,9.422004,26.526084,4.902767,4.225871,4.423361,5.394576
95,PASSERIFORMES,Thamnophilidae,Myrmotherula snowi,Alagoas Antwren,CR,CR,7.407455,3.921363,3.811371,12.922317,4.901708,4.366174,4.343571,5.406082
96,STRIGIFORMES,Strigidae,Glaucidium mooreorum,Pernambuco Pygmy-owl,CR,CR,7.40101,4.557758,4.035363,15.296003,4.900941,4.487783,4.389074,5.563509
97,PROCELLARIIFORMES,Procellariidae,Pterodroma caribbaea,Jamaica Petrel,CR,CR,7.352828,4.614387,4.072623,16.635781,4.895189,4.497921,4.396447,5.642519
98,COLUMBIFORMES,Columbidae,Leptotila wellsi,Grenada Dove,CR,CR,7.270983,4.095813,4.361805,15.383609,4.885342,4.401008,4.451889,5.56887
99,CHARADRIIFORMES,Scolopacidae,Gallinago nemoricola,Wood Snipe,CR,CR,7.270139,3.268323,4.528177,13.134419,4.88524,4.22381,4.482447,5.421202
100,PASSERIFORMES,Thamnophilidae,Myrmotherula fluminensis,Rio de Janeiro Antwren,CR,CR,7.182442,3.791503,3.808025,12.57384,4.874579,4.339433,4.342875,5.380733
101,PROCELLARIIFORMES,Diomedeidae,Diomedea dabbenena,Tristan Albatross,CR,CR,7.118788,1.001738,6.095409,8.371559,4.86677,3.466605,4.732037,5.010268
102,PROCELLARIIFORMES,Procellariidae,Pseudobulweria macgillivrayi,Fiji Petrel,CR,CR,7.096915,4.505474,4.543819,17.661476,4.864072,4.478332,4.485272,5.69905
103,PASSERIFORMES,Meliphagidae,Notiomystis cincta,Stitchbird,VU,VU,31.381709,8.942337,20.737437,41.491536,4.863888,3.683096,4.46533,5.135599
104,PASSERIFORMES,Cotingidae,Calyptura cristata,Kinglet Calyptura,CR,CR,7.027632,4.348974,3.528918,14.485298,4.855478,4.449494,4.283072,5.51248
105,SULIFORMES,Phalacrocoracidae,Phalacrocorax onslowi,Chatham Islands Shag,CR,CR,7.012732,4.819044,4.017068,17.469569,4.85362,4.533725,4.385434,5.688713
106,STRIGIFORMES,Strigidae,Otus siaoensis,Siau Scops-owl,CR,CR,6.977264,5.136562,3.430104,16.625978,4.849184,4.586853,4.261012,5.641963
107,PROCELLARIIFORMES,Procellariidae,Puffinus mauretanicus,Balearic Shearwater,CR,CR,6.976273,1.402409,5.265601,8.614512,4.84906,3.649061,4.607663,5.035862
108,PELECANIFORMES,Threskiornithidae,Platalea minor,Black-faced Spoonbill,EN,EN,14.722724,5.048911,9.549372,21.814231,4.834549,3.87932,4.435508,5.206826
109,PICIFORMES,Galbulidae,Jacamaralcyon tridactyla,Three-toed Jacamar,VU,VU,30.1954,12.100058,16.471597,43.970281,4.826565,3.958911,4.246871,5.192296
110,PROCELLARIIFORMES,Procellariidae,Puffinus auricularis,Townsend's Shearwater,CR,CR,6.770893,3.577559,4.627062,13.74314,4.822974,4.293755,4.500176,5.463367
111,PROCELLARIIFORMES,Diomedeidae,Diomedea amsterdamensis,Amsterdam Albatross,CR,CR,6.761784,0.884986,5.839088,7.846374,4.821801,3.406509,4.695243,4.952596
112,PASSERIFORMES,Meliphagidae,Xanthomyza phrygia,Regent Honeyeater,CR,CR,6.664994,2.753379,3.880785,9.61271,4.809252,4.095245,4.357895,5.134641
113,PELECANIFORMES,Threskiornithidae,Threskiornis bernieri,Madagascar Sacred Ibis,EN,EN,14.269815,6.39713,9.006015,24.913259,4.80532,4.080534,4.382628,5.334196
114,GALLIFORMES,Megapodiidae,Leipoa ocellata,Malleefowl,VU,VU,29.447306,8.078163,20.94055,40.945253,4.802292,3.592166,4.474631,5.12266
115,STRIGIFORMES,Tytonidae,Tyto nigrobrunnea,Taliabu Masked-owl,EN,EN,14.206319,8.591721,8.140495,32.354557,4.801153,4.340342,4.292156,5.586636
116,PASSERIFORMES,Thraupidae,Nemosia rourei,Cherry-throated Tanager,CR,CR,6.593916,2.544023,4.199776,10.128159,4.799936,4.037851,4.421204,5.182067
117,PASSERIFORMES,Furnariidae,Aphrastura masafuerae,Masafuera Rayadito,CR,CR,6.570432,2.427501,4.382604,10.118476,4.796839,4.00442,4.455761,5.181197
118,CICONIIFORMES,Ciconiidae,Ciconia boyciana,Oriental Stork,EN,EN,13.962842,2.663088,11.147963,17.626236,4.785011,3.377748,4.576603,5.004013
119,CICONIIFORMES,Ciconiidae,Ciconia stormi,Storm's Stork,EN,EN,13.899281,2.771572,10.997302,17.716034,4.780755,3.406933,4.564123,5.008822
120,PROCELLARIIFORMES,Procellariidae,Pseudobulweria aterrima,Mascarene Petrel,CR,CR,6.443074,1.232554,5.001069,7.99593,4.779873,3.575735,4.564526,4.969361
121,PASSERIFORMES,Pycnonotidae,Phyllastrephus leucolepis,Liberian Greenbul,CR,CR,6.409522,2.819751,4.035578,11.349677,4.775355,4.112774,4.389117,5.286219
122,MESITORNITHIFORMES,Mesitornithidae,Mesitornis variegatus,White-breasted Mesite,VU,VU,28.590272,3.803218,24.899538,34.577011,4.77374,2.95558,4.640519,4.957994
123,MESITORNITHIFORMES,Mesitornithidae,Mesitornis unicolor,Brown Mesite,VU,VU,28.590272,3.803218,24.899538,34.577011,4.77374,2.95558,4.640519,4.957994
124,CORACIIFORMES,Brachypteraciidae,Brachypteracias leptosomus,Short-legged Ground-roller,VU,VU,28.526787,8.196785,19.865928,40.382025,4.771592,3.605148,4.424412,5.109141
125,PASSERIFORMES,Corvidae,Zavattariornis stresemanni,Ethiopian Bush-crow,EN,EN,13.758662,3.327209,10.032169,17.848855,4.771272,3.544364,4.480257,5.015894
126,PASSERIFORMES,Turdidae,Turdus helleri,Taita Thrush,CR,CR,6.363461,1.744461,4.375778,8.644218,4.769119,3.782173,4.454492,5.038947
127,GALLIFORMES,Megapodiidae,Aepypodius bruijnii,Bruijn's Brush-turkey,EN,EN,13.666186,3.848062,9.908604,19.487828,4.764986,3.65802,4.468993,5.099272
128,COLUMBIFORMES,Columbidae,Columba argentina,Silvery Wood-pigeon,CR,CR,6.330518,3.425561,3.605526,12.110804,4.764635,4.259986,4.299846,5.346025
129,ACCIPITRIFORMES,Accipitridae,Necrosyrtes monachus,Hooded Vulture,EN,EN,13.629582,2.273544,10.888921,16.322928,4.762487,3.265315,4.555048,4.931472
130,PASSERIFORMES,Muscicapidae,Modulatrix orostruthus,Dapple-throat,VU,VU,27.966292,5.034316,21.241202,33.639883,4.752427,3.183757,4.488241,4.9313
131,PASSERIFORMES,Mimidae,Toxostoma guttatum,Cozumel Thrasher,CR,CR,6.229134,1.404176,4.728239,8.013295,4.750708,3.649796,4.517997,4.971289
132,OTIDIFORMES,Otididae,Neotis ludwigii,Ludwig's Bustard,EN,EN,13.369393,3.668802,10.05815,18.674875,4.744542,3.620344,4.482609,5.058784
133,COLUMBIFORMES,Columbidae,Columba elphinstonii,Nilgiri Wood-pigeon,CR,CR,6.167515,3.111225,3.543276,11.469863,4.742148,4.18631,4.286237,5.295903
134,PASSERIFORMES,Fringillidae,Oreomystis bairdi,Akikiki,CR,CR,6.107126,1.305076,4.687711,7.88192,4.733687,3.607702,4.510897,4.956606
135,TINAMIFORMES,Tinamidae,Nothocercus nigrocapillus,Hooded Tinamou,VU,VU,27.418543,12.286964,16.983974,47.402105,4.733336,3.973078,4.275775,5.265838
136,COLUMBIFORMES,Columbidae,Phapitreron cinereiceps,Tawitawi Brown-dove,EN,EN,13.187759,4.754327,9.436329,21.419292,4.731821,3.829394,4.424734,5.189363
137,PASSERIFORMES,Alaudidae,Heteromirafra sidamoensis,Liben Lark,CR,CR,6.043192,3.196573,3.361545,11.646214,4.72465,4.206857,4.245415,5.309947
138,CHARADRIIFORMES,Charadriidae,Charadrius obscurus,New Zealand Dotterel,EN,EN,13.057934,7.175771,7.065909,25.918361,4.722628,4.180617,4.167088,5.37225
139,PASSERIFORMES,Alaudidae,Heteromirafra archeri,Archer's Lark,CR,CR,6.027336,3.220191,3.38051,11.685966,4.722396,4.212469,4.249754,5.313085
140,PASSERIFORMES,Thraupidae,Conothraupis mesoleuca,Cone-billed Tanager,CR,CR,6.01666,2.355847,3.772074,9.400182,4.720876,3.983293,4.33537,5.114412
141,PASSERIFORMES,Maluridae,Stipiturus mallee,Mallee Emuwren,EN,EN,13.01325,2.64255,10.143957,16.523488,4.719445,3.372125,4.490339,4.942984
142,PASSERIFORMES,Parulidae,Vermivora bachmanii,Bachman's Warbler,CR,CR,5.978483,1.502295,4.188695,7.87127,4.71542,3.689797,4.419071,4.955407
143,PASSERIFORMES,Pardalotidae,Pardalotus quadragintus,Forty-spotted Pardalote,EN,EN,12.912793,4.048286,9.212895,22.460815,4.71225,3.69849,4.403093,5.234773
144,PASSERIFORMES,Acanthizidae,Mohoua ochrocephala,Yellowhead,EN,EN,12.88195,2.814854,9.085819,16.153798,4.710031,3.418344,4.390572,4.921661
145,STRIGIFORMES,Strigidae,Otus ireneae,Sokoke Scops-owl,EN,EN,12.852876,8.220701,6.945369,22.474633,4.707934,4.300893,4.152031,5.235362
146,PASSERIFORMES,Turdidae,Myadestes lanaiensis,Olomao,CR,CR,5.925727,2.52583,3.588164,9.784112,4.707832,4.032705,4.296069,5.150663
147,COLUMBIFORMES,Columbidae,Ptilinopus arcanus,Negros Fruit-dove,CR,CR,5.920942,3.790934,3.195983,12.050512,4.707141,4.339314,4.206716,5.341416
148,PASSERIFORMES,Turdidae,Myadestes palmeri,Puaiohi,CR,CR,5.919604,2.643066,3.450876,10.466119,4.706947,4.065414,4.26569,5.211985
149,PELECANIFORMES,Ardeidae,Botaurus poiciloptilus,Australasian Bittern,EN,EN,12.824169,4.371154,9.432248,19.309776,4.70586,3.760484,4.424343,5.090544
150,PROCELLARIIFORMES,Procellariidae,Pterodroma magentae,Magenta Petrel,CR,CR,5.904761,1.218596,4.590851,7.355755,4.7048,3.569463,4.49372,4.895539
151,PASSERIFORMES,Sylviidae,Artisornis moreaui,Long-billed Tailorbird,CR,CR,5.895304,1.805707,4.096273,8.291984,4.703429,3.804244,4.401098,5.001741
152,COLUMBIFORMES,Columbidae,Zenaida graysoni,Socorro Dove,EW,CR,5.888102,1.006116,4.960232,6.950423,4.702384,3.468789,4.557698,4.845814
153,PASSERIFORMES,Parulidae,Leucopeza semperi,Semper's Warbler,CR,CR,5.855942,1.487065,4.116553,7.730558,4.697704,3.683692,4.40507,4.939418
154,COLUMBIFORMES,Columbidae,Columba punicea,Pale-capped Pigeon,CR,CR,5.853466,3.269309,3.313114,11.478495,4.697343,4.224041,4.234249,5.296595
155,ACCIPITRIFORMES,Accipitridae,Harpyopsis novaeguineae,New Guinea Eagle,VU,VU,26.319312,3.575109,21.626197,30.350859,4.693888,2.906925,4.505403,4.831536
156,TINAMIFORMES,Tinamidae,Taoniscus nanus,Dwarf Tinamou,VU,VU,26.06646,15.875808,12.74316,50.192701,4.68459,4.212175,4.006836,5.321891
157,PASSERIFORMES,Sturnidae,Leucopsar rothschildi,Bali Starling,CR,CR,5.72018,1.185732,4.379356,7.231443,4.677704,3.554539,4.455157,4.88055
158,CHARADRIIFORMES,Scolopacidae,Prosobonia cancellata,Tuamotu Sandpiper,EN,EN,12.433245,8.072266,6.543487,25.46327,4.677174,4.284664,4.100126,5.355199
